country,average_rating,number_of_movies
Georgia,4.84,10
Philippines,5.242857142857145,28
Lithuania,5.52,10
South Africa,5.561842105263159,76
Canada,5.592329279700663,1069
Romania,5.608000000000001,75
United States,5.668786200751125,15711
India,5.674261603375531,711
Singapore,5.695,20
Ukraine,5.7,12
Luxembourg,5.746808510638298,47
Algeria,5.78,10
Netherlands,5.812380952380948,210
Pakistan,5.854545454545455,11
Australia,5.857142857142862,441
Bulgaria,5.895833333333333,24
Hungary,5.908235294117648,85
Italy,5.937518573551272,1346
New Zealand,5.9485,200
Israel,5.9626666666666654,75
Mexico,5.969540229885058,174
Russian Federation,6.0219512195121965,369
Spain,6.02974559686888,511
Finland,6.0438709677419356,155
Croatia,6.053846153846154,26
Thailand,6.0584615384615415,65
United Kingdom,6.06879387364389,3134
Argentina,6.117886178861787,123
Ireland,6.1218543046357645,151
Chile,6.1499999999999995,20
Sweden,6.152795031055898,322
Germany,6.171093176815849,1363
United Arab Emirates,6.19,10
Serbia,6.1986842105263165,76
Morocco,6.200000000000001,14
Belgium,6.24433497536946,203
Switzerland,6.253900709219858,141
Greece,6.25925925925926,54
Brazil,6.261165048543691,103
Tunisia,6.263636363636365,11
France,6.265521683125806,2329
Austria,6.277777777777779,81
Norway,6.280172413793102,116
Denmark,6.3005154639175265,194
Hong Kong,6.327192982456143,456
Japan,6.328631138975981,957
Slovenia,6.3307692307692305,13
Iceland,6.362499999999999,40
Cuba,6.374999999999999,16
"Korea, Republic of",6.3967532467532475,308
Poland,6.399999999999998,133
"Iran, Islamic Republic of",6.422500000000001,80
China,6.426241134751779,282
North Macedonia,6.45,10
Indonesia,6.4799999999999995,15
Egypt,6.4823529411764715,17
Estonia,6.5200000000000005,10
Slovakia,6.535714285714285,14
Czechia,6.5697478991596645,119
Colombia,6.58235294117647,17
Uruguay,6.6,10
Portugal,6.658333333333333,72
Bosnia and Herzegovina,6.7266666666666675,15
Turkey,6.832051282051282,78
