,FreebaseID,IMBD_ID
0,/m/03vyhn,tt0228333
1,/m/08yl5d,tt0245916
2,/m/0crgdbh,tt0094806
3,/m/0285_cd,tt0094320
4,/m/01mrr1,tt0083949
5,/m/03cfc81,tt0002894
6,/m/06_y2j7,tt0200545
7,/m/017n1p,tt0021335
8,/m/07kjkz6,tt0072157
9,/m/0gffwj,tt0119548
10,/m/016ywb,tt0097499
11,/m/04cqrs4,tt0278891
12,/m/02r52hc,tt0033888
13,/m/0g5qvzg,tt0088646
14,/m/0kcn7,tt0058331
15,/m/0gyryjt,tt0061637
16,/m/0gj30jx,tt0104601
17,/m/017n1b,tt0020823
18,/m/02wjqm,tt0133122
19,/m/05p45cv,tt0892904
20,/m/0h964n1,tt0055997
21,/m/0g4_n3m,tt0022289
22,/m/047t9rb,tt0026167
23,/m/05pckh0,tt0053820
24,/m/0523t_1,
25,/m/05f5_5y,tt0079552
26,/m/02rc_h4,tt0367546
27,/m/02pml15,tt0255668
28,/m/0gjd9q4,tt0051577
29,/m/04j284s,tt0088157
30,/m/04j0lfk,tt0366182
31,/m/0fq260_,tt1849787
32,/m/0b6c_nw,tt0178022
33,/m/0bh9fbk,
34,/m/06_y54s,tt0178356
35,/m/02pjlrp,tt0099054
36,/m/0gyv1h1,
37,/m/02q74ng,tt0021728
38,/m/0734w5,tt0482499
39,/m/07h9zj,tt0153301
40,/m/0b6kc_5,tt0166158
41,/m/03cfwy4,tt0004604
42,/m/01mrrd,tt0080801
43,/m/05c4bry,
44,/m/03grb4v,tt0008150
45,/m/03c_x01,tt0009082
46,/m/02vlsqt,tt0405393
47,/m/0cws46,tt0097670
48,/m/05b0lk8,tt0255267
49,/m/03c0d85,tt0843287
50,/m/02rm6l8,tt0128332
51,/m/05f6kpj,tt0116480
52,/m/06_vg9f,tt0304329
53,/m/0f0d1p,tt0402230
54,/m/02vn81r,tt0097790
55,/m/0kv1zq,tt0161362
56,/m/09rzk6,tt0055981
57,/m/0dll97s,tt0106541
58,/m/05bzp6g,tt0091513
59,/m/04m_wkg,tt0170113
60,/m/0gjd9qv,tt0173225
61,/m/02w1jsk,tt0479879
62,/m/07s63_7,tt0432762
63,/m/04zyc0t,tt1152403
64,/m/0gh7n22,tt0018713
